playlist_name,track_playlist,recommendation,hit_number,hit_track
ME TIME,"Gold Digger by Kanye West, Fake Love by Drake, Uber Everywhere by MadeinTYO, iSpy (feat. Lil Yachty) by KYLE, HUMBLE. by Kendrick Lamar, REDMERCEDES by Aminé, Hello by Erykah Badu, Congratulations by Post Malone, Slippery (feat. Gucci Mane) by Migos, Passionfruit by Drake, Shining by DJ Khaled, I Choose You by Kiana Ledé, Make Her Say by Kid Cudi, Feels by Calvin Harris, Buy U a Drank (Shawty Snappin') by T-Pain, Wavy (feat. Joe Moses) by Ty Dolla $ign","God's Plan by Drake, Circles by Post Malone, HUMBLE. by Kendrick Lamar, Rockstar by Post Malone feat. 21 Savage, Passionfruit by Drake, Love Yourz by J. Cole, Good News by Mac Miller, Self Care by Mac Miller, Alright by Kendrick Lamar, Sunflower by Post Malone & Swae Lee",2,"HUMBLE. by Kendrick Lamar, Passionfruit by Drake"
silver,"Fly Me To The Moon by Frank Sinatra, Let's Stay Together by Al Green, For Once In My Life by Stevie Wonder, My Girl by The Temptations, Rich Girl by Daryl Hall & John Oates, September by Earth, Wind & Fire, (Sittin' On) The Dock Of The Bay by Otis Redding, Papa's Got A Brand New Bag by James Brown, I've Got The World On A String by Frank Sinatra, Dream A Little Dream Of Me by Ella Fitzgerald, Georgia on My Mind by Ray Charles","Fly Me to the Moon by Frank Sinatra, Dream A Little Dream Of Me by Ella Fitzgerald, My Cherie Amour by Stevie Wonder, Come Away With Me by Norah Jones, At Last by Etta James, L-O-V-E by Nat King Cole, The Nearness of You by Norah Jones, Turn Me On by Norah Jones, Unforgettable by Nat King Cole & Natalie Cole, Moondance by Van Morrison",1,Dream A Little Dream Of Me by Ella Fitzgerald
Lit,"Watch Out by 2 Chainz, $ave Dat Money (feat. Fetty Wap & Rich Homie Quan) by Lil Dicky, Ass Drop by Wiz Khalifa, Closer by The Chainsmokers, You Shook Me All Night Long by AC/DC, All Summer Long by Kid Rock, How Low by Ludacris, Down by Jay Sean, Party In The U.S.A. by Miley Cyrus, Dance (A$$) Remix by Big Sean, Gold Digger by Kanye West, Hound Dog by Elvis Presley, Caroline by Aminé, Mr. Blue Sky by Electric Light Orchestra, Stand By Me by Otis Redding, Come Back To Me by Vanessa Hudgens, Nobody But Me by The Human Beinz, Too Bad by IshDARR, Death Of A Bachelor by Panic! At The Disco","We Own It (Fast & Furious) by 2 Chainz & Wiz Khalifa, $ave Dat Money by Lil Dicky feat. Fetty Wap and Rich Homie Quan, No Problem by Chance the Rapper feat. Lil Wayne & 2 Chainz, Black and Yellow by Wiz Khalifa, Uptown Funk by Mark Ronson feat. Bruno Mars, Can't Stop the Feeling! by Justin Timberlake, Happy by Pharrell Williams, Shut Up and Dance by WALK THE MOON, I Gotta Feeling by The Black Eyed Peas, 24K Magic by Bruno Mars",0,
Party,"Energy by Drake, 23 by Mike WiLL Made-It, $ave Dat Money (feat. Fetty Wap & Rich Homie Quan) by Lil Dicky, Sorry by Justin Bieber, Only by Nicki Minaj, Stole the Show by Kygo, Hide Away by Daya, In Too Deep by Sum 41, Wasted by Tiësto, Lollipop by Lil Wayne, Do It Again by Pia Mia, Back To Back by Drake, In The Night by The Weeknd, How Deep Is Your Love by Calvin Harris, Stitches by Shawn Mendes, Runaway (U & I) by Galantis, Ass Drop by Wiz Khalifa, Bitch Better Have My Money by Rihanna, All Night by Icona Pop, Be Real by Kid Ink, Show Me by Kid Ink, $ave Dat Money (feat. Fetty Wap & Rich Homie Quan) by Lil Dicky, Lush Life by Zara Larsson, Work by Rihanna, Antidote by Travis Scott, Down In the DM by Yo Gotti, I Like The Sound Of That by Rascal Flatts, wRoNg by ZAYN, Señorita by Justin Timberlake, No Type by Rae Sremmurd, This Could Be Us by Rae Sremmurd, We Dem Boyz by Wiz Khalifa, Where Ya At by Future, Paranoid (feat. B.o.B) by Ty Dolla $ign, Rich Girl by Gwen Stefani, Party In The U.S.A. by Miley Cyrus, White Iverson by Post Malone, High by Big Sean","One Dance by Drake, Work by Rihanna ft. Drake, Show Me by Kid Ink ft. Chris Brown, Uptown Funk by Mark Ronson ft. Bruno Mars, Can't Stop the Feeling! by Justin Timberlake, 24K Magic by Bruno Mars, Sorry by Justin Bieber, Shut Up and Dance by WALK THE MOON, Don't Start Now by Dua Lipa, Levitating by Dua Lipa",1,Sorry by Justin Bieber
chill,"Brain by Banks, Better by Banks, Intro by The xx, Journey's End by Blackmill, Rain by Blackmill, Eyes On Fire by Blue Foundation, Midnight by Coldplay, Marvins Room by Drake, Landslide by Oh Wonder, Drive by Oh Wonder, Landslide by Oh Wonder, Without You by Oh Wonder, The Rain by Oh Wonder, All We Do by Oh Wonder, Stone by Agnes Obel, Madness by Muse, Midnight by Coldplay, All I Want by Dawn Golden, Ghosts by BANNERS, I Need You by M83, The Last Time by Oliver Tank, Beginnings by Houses, Outro by M83, Beginnings by Houses, Location by Khalid, Anchor by Novo Amor, WALLS by Kings of Leon, All the King's Horses by Karmina, Better by Banks, River by Bishop Briggs, Hide and Seek by Claire Guerreso, Never Let Me Go by Florence + The Machine, Graveyard by Feist, All I Want by Kodaline, Like Real People Do by Hozier, Bloodflood by alt-J, Medicine by Daughter","Drive by Oh Wonder, Beggin For Thread by Banks, Let It Be by Blackmill feat. Veela, Holocene by Bon Iver, Adore by Amy Shark, Cherry Wine by Hozier, Electric Feel by MGMT, You Were Right by RÜFÜS DU SOL, The Night We Met by Lord Huron, Angela by The Lumineers",1,Drive by Oh Wonder
Bali ,"Don't by Bryson Tiller, Don't Let Me Down by The Chainsmokers, Low Life by Future, Stay by Kygo, The Hills by The Weeknd, Lush Life by Zara Larsson, Here by Alessia Cara, BTSTU (Edit) by Jai Paul, Sleepyhead by Passion Pit, River by Bishop Briggs, Insane by Flume, Animal by Miike Snow, I Know by Big Sean, No Type by Rae Sremmurd, Marvins Room by Drake, Same Old Song by The Weeknd, Someday by The Strokes, On the Other Side by The Strokes, Cigarette Daydreams by Cage The Elephant, Fever by The Black Keys","Blinding Lights by The Weeknd, Under Cover of Darkness by The Strokes, Somebody Else by The 1975, Do I Wanna Know? by Arctic Monkeys, Closer by The Chainsmokers feat. Halsey, Turning Page by Sleeping At Last, The Night We Met by Lord Huron, Say Something by A Great Big World & Christina Aguilera, Gravity by John Mayer, I Found by Amber Run",0,
jams ,"Waiting For A Girl Like You by Foreigner, Down Under by Men At Work, Take On Me by a-ha, September by Earth, Wind & Fire, More Than a Feeling by Boston, Sweet Caroline by Neil Diamond, Hound Dog by Elvis Presley, Sweet Emotion by Aerosmith, Sweet Home Alabama by Lynyrd Skynyrd, Sweet Child O' Mine by Guns N' Roses, Dream On by Aerosmith, Gimme Shelter by The Rolling Stones, Free Bird by Lynyrd Skynyrd, Your Love by The Outfield","Sweet Home Alabama by Lynyrd Skynyrd, Dream On by Aerosmith, Juke Box Hero by Foreigner, Take It Easy by Eagles, Ramblin' Man by The Allman Brothers Band, Have You Ever Seen The Rain by Creedence Clearwater Revival, The Weight by The Band, Simple Man by Lynyrd Skynyrd, Peaceful Easy Feeling by Eagles, Feels Like the First Time by Foreigner",2,"Sweet Home Alabama by Lynyrd Skynyrd, Dream On by Aerosmith"
Summer,"Wasted by Tiësto, My Sweet Summer by Dirty Heads, Fever by The Black Keys, Get Over It by OK Go, Summertime by My Chemical Romance, 6am by Fitz and The Tantrums, Sex on Fire by Kings of Leon, Wait for Me by Kings of Leon, Good Feeling by Flo Rida, Believe by The Bravery, Sweet Emotion by Aerosmith","Use Somebody by Kings of Leon, Gold on the Ceiling by The Black Keys, Sweet Emotion by Aerosmith, Is This Love by Bob Marley & The Wailers, Gravity by John Mayer, Redemption Song by Bob Marley & The Wailers, Come Away With Me by Norah Jones, Brighter Than the Sun by Colbie Caillat, Banana Pancakes by Jack Johnson, Santeria by Sublime",1,Sweet Emotion by Aerosmith
for you,"Waves by Magic Man, Over & Over by Smallpools, Car Radio by Twenty One Pilots, Let It Go by James Bay, Wait by M83, Fire by Augustana, Good Riddance (Time of Your Life) by Green Day, High by Young Rising Sons, Anna Sun by WALK THE MOON, Next In Line by WALK THE MOON, Robbers by The 1975, You by The 1975, House Of Gold by Twenty One Pilots, Smile by Mikky Ekko, I Lived by OneRepublic, Chasing Cars by Snow Patrol, Undo by The 1975, Chasing Cars by Sleeping At Last, Gravity by John Mayer, Riptide by Vance Joy, Us Against the World by Coldplay, Gold by James Vincent McMorrow, Turning Page by Sleeping At Last, Promise by Ben Howard, Upside Down by Jack Johnson, True Love by Coldplay, Apartment by Young the Giant, Ride by Twenty One Pilots, The Judge by Twenty One Pilots, Alive by Empire of the Sun, Higher Love by James Vincent McMorrow, One by Ed Sheeran, Give Me Love by Ed Sheeran, Hold Back The River by James Bay, Shame by Ciaran Lavery, Lost Stars by Adam Levine, Scars by James Bay, West Coast by Coconut Records, Closing Time by Semisonic, Wake Me by Bleachers, High And Dry by Radiohead, I Got by Young the Giant, High Hopes by Kodaline, The Ladder by Andrew Belle, Be Still by The Killers, Lonely Town by Brandon Flowers, Human by The Killers, Angel by Jack Johnson, Miss Atomic Bomb by The Killers, FOOLS by Troye Sivan, Heartbeats by José González, YOUTH by Troye Sivan, Human by The Killers, It's You by Robert Schwartzman, Sober by Childish Gambino, Bad Religion by Frank Ocean, Past Lives by BØRNS, Truce by Twenty One Pilots, Screen by Twenty One Pilots, Fake You Out by Twenty One Pilots, SUBURBIA by Troye Sivan, Collar Full by Panic! At The Disco, Dreaming by Smallpools, Killer Whales by Smallpools, Cough Syrup by Young the Giant, Islands by Young the Giant, Madness by Lucius, Something About You by Lucius, No Good by Kaleo, Texas by Magic Man, Paris by Magic Man, Tonight by Magic Man, If You Wanna Stay by The Griswolds, Down And Out by The Griswolds, Time Will Tell by Blood Orange, Chicago by Sufjan Stevens, Solo by Frank Ocean, Waves by Kanye West, Blessings by Chance The Rapper","Ride by Twenty One Pilots, Robbers by The 1975, Paris by Magic Man, Redemption Song by Bob Marley & The Wailers, Follow You by Imagine Dragons, Scar Tissue by Red Hot Chili Peppers, The Sound by The 1975, Stressed Out by Twenty One Pilots, Let Her Go by Passenger, Unsteady by X Ambassadors",3,"Robbers by The 1975, Ride by Twenty One Pilots, Paris by Magic Man"
Skrillex,"Bully by Liquid Stranger, Listen to Your Heart by DJ Dangerous Raj Desai, Hold Me Close by Flux Pavilion, Lights by Klaypex, Secrets by Klaypex, Too Late by Klaypex, Heads Will Roll by Yeah Yeah Yeahs, Everyday by Rusko, Promises by NERO, Bring It Back by Will Sparks, Freestyle by Bassnectar, Freeway by Flux Pavilion, I'm The One by Flux Pavilion, Love Bites by The Midnight Beast, Lights by Klaypex, Crazy by Klaypex, Clarity by Zedd, Colors by Tobu, Summer by Calvin Harris, Lightning by MYNC, Lay Low by Young Squage, I'm an Albatraoz by AronChupa","Heads Will Roll by Yeah Yeah Yeahs, I Can't Stop by Flux Pavilion, Electric Feel by MGMT, Midnight City by M83, Take Five by Dave Brubeck, Feeling Good by Nina Simone, Don't Stop Me Now by Queen, Lose Yourself to Dance by Daft Punk, Stronger by Kanye West, Dog Days Are Over by Florence + The Machine",1,Heads Will Roll by Yeah Yeah Yeahs
WA.,"Hearts by Bay Ledges, Safe by Bay Ledges, New Theory by Washed Out, Lover by In The Valley Below, I Like Me Better by Lauv, Make Me Better by Ten Fé, Golden Days by Whitney, Hurt Me by Låpsley, All Day All Night by Moon Taxi, Days by The Drums, Love Is Alive by Louis The Child, Magic by Coldplay, California by The Lagoons, Every Teardrop Is a Waterfall by Coldplay, Closer by Kings of Leon, I Want You by Kings of Leon, Dark Days by Local Natives, Memories by Petit Biscuit, Chateau by Angus & Julia Stone","Yellow by Coldplay, Use Somebody by Kings of Leon, Dreaming With Our Eyes Open by Witt Lowry, I Will Wait by Mumford & Sons, Latch (Acoustic) by Sam Smith, Come Away With Me by Norah Jones, Better Together by Jack Johnson, Ho Hey by The Lumineers, Banana Pancakes by Jack Johnson, Find Someone Like You by Snoh Aalegra",0,
Life Sucks,"Let It Go by James Bay, Someone Like You by Adele, Stone Cold by Demi Lovato, Hello by Adele, All I Want by Kodaline, A Thousand Years by Christina Perri, The A Team by Ed Sheeran, Chasing Cars by Snow Patrol, Take Me To Church by Hozier, The One That Got Away by Katy Perry, Count On Me by Bruno Mars, Rolling in the Deep by Adele, Pills N Potions by Nicki Minaj, Mirrors by Justin Timberlake, Million Reasons by Lady Gaga, Counting Stars by OneRepublic, Payphone by Maroon 5, Kiss Me by Ed Sheeran, Elastic Heart by Sia, Same Old Love by Selena Gomez, Starships by Nicki Minaj, Burn by Ellie Goulding, Come & Get It by Selena Gomez, Dynamite by Taio Cruz, I Gotta Feeling by The Black Eyed Peas, Radioactive by Imagine Dragons, Pound The Alarm by Nicki Minaj, Poker Face by Lady Gaga, Ready or Not by Bridgit Mendler, Party In The U.S.A. by Miley Cyrus, Love You Like A Love Song by Selena Gomez & The Scene, Maps by Maroon 5, Applause by Lady Gaga, Telephone by Lady Gaga, Milkshake by Kelis","Someone Like You by Adele, Million Reasons by Lady Gaga, Pills N Potions by Nicki Minaj, The Climb by Miley Cyrus, Un-break My Heart by Toni Braxton, Stronger (What Doesn't Kill You) by Kelly Clarkson, Redemption Song by Bob Marley, Fix You by Coldplay, Skyscraper by Demi Lovato, Brave by Sara Bareilles",3,"Someone Like You by Adele, Pills N Potions by Nicki Minaj, Million Reasons by Lady Gaga"
NEO,"Killing Me Softly by Neo Soul Sessions, You Got Me by The Roots, The Light by Common, Sometimes by Bilal, Closer by Goapele, Hold My Hand by Van Hunt, Sometimes by Bilal, Wasted Time by Meshell Ndegeocello, I Confess by Bahamadia, You Got Me by The Roots, Lovely Day by Robert Glasper Experiment, Trust by Robert Glasper Experiment, I Wanna Love You by Estelle, Open Your Eyes by Dwele, Magic by Amel Larrieux, Truth by Dwele, Still by Macy Gray","The Seed (2.0) by The Roots, Sometimes by Bilal, Afro Blue by Robert Glasper Experiment feat. Erykah Badu, Redemption Song by Bob Marley & The Wailers, Unstoppable by Lianne La Havas, Is This Love by Bob Marley & The Wailers, Strength of a Woman by Shaggy, I Need a Forest Fire by James Blake feat. Bon Iver, Better Way by Ben Harper, Rasta Love by Protoje feat. Ky-Mani Marley",2,"Sometimes by Bilal, Sometimes by Bilal"
