playlist_name,track_playlist,recommendation,hit_number,hit_track
Current,"How Deep Is Your Love by Calvin Harris, The Hills by The Weeknd, White Iverson by Post Malone, Antidote by Travis Scott, Sorry by Justin Bieber, Work by Rihanna, Wicked by Future, Cut It (feat. Young Dolph) by O.T. Genasis, Needed Me by Rihanna, Fake Love by Drake, Shining by DJ Khaled, Location by Khalid, Starboy by The Weeknd, Swish Swish by Katy Perry, Magnolia by Playboi Carti","Diamonds by Rihanna, Blinding Lights by The Weeknd, Circles by Post Malone, Buffalo Soldier by Bob Marley & The Wailers, Rockstar by Post Malone ft. 21 Savage, Is This Love by Bob Marley & The Wailers, Can't Feel My Face by The Weeknd, Rude by MAGIC!, Three Little Birds by Bob Marley & The Wailers, Only Girl (In The World) by Rihanna",0,
God is Good,"Always by Kristian Stanfill, How He Loves by David Crowder Band, Set a Fire by Will Reagan, Tell Your Heart to Beat Again by Danny Gokey, I Believe by Wes King, There Is Power In The Blood by Selah, The Words I Would Say by Sidewalk Prophets, Your Love Never Fails by Newsboys, Because He Lives (Amen) by Matt Maher, Hold Me (feat. Tobymac) by Jamie Grace, Nothing I Hold on to (Live) by Will Reagan, I Can Only Imagine by MercyMe, Ever Be by Aaron Shust","I Will Follow by Chris Tomlin, Oceans (Where Feet May Fail) by Hillsong UNITED, Chain Breaker by Zach Williams, God of Wonders by Third Day, Flawless by MercyMe, Lead Me To The Cross by Hillsong UNITED, God's Not Dead (Like A Lion) by Newsboys, Good Good Father by Chris Tomlin, Who You Say I Am by Hillsong Worship, Rescue by Lauren Daigle",0,
You Already Know,"Open Your Eyes by Dwele, Celebration by Kool & The Gang, On Your Face by Earth, Wind & Fire, Wildfire by SBTRKT, Fall In Love by Slum Village, Beautiful by Snoop Dogg, Sing a Song by Earth, Wind & Fire, Turn On The Lights by Future, Shutterbugg by Big Boi, Let's Stay Together by Al Green, GOT IT GOOD by KAYTRANADA, Can I Kick It? by A Tribe Called Quest, Definition by Black Star, Sex With Me by Rihanna, I Can't Help It by Michael Jackson, I Wish by Stevie Wonder, Caroline by Aminé, Genesis by Justice, Genesis by Justice","September by Earth, Wind & Fire, Safe and Sound by Justice, Celebration by Kool & The Gang, Don't Stop Believin by Journey, Dream On by Aerosmith, Come Away With Me by Norah Jones, Gravity by John Mayer, I Want To Break Free by Queen, Let's Stay Together by Al Green, Feeling Good by Michael Bublé",2,"Celebration by Kool & The Gang, Let's Stay Together by Al Green"
Fall,"I'm Yours by Alessia Cara, Here by Alessia Cara, Seventeen by Alessia Cara, Prisoner by The Weeknd, Back To Back by Drake, Right Hand by Drake, This Could Be Us by Rae Sremmurd, Be Right There by Diplo, How Deep Is Your Love by Calvin Harris, Same Old Love by Selena Gomez, Forbes by G-Eazy, I Was Made For Loving You by Tori Kelly, Antidote by Travis Scott, Again by Fetty Wap, Do It Again by Pia Mia, Body on Me by Rita Ora, Sober by Selena Gomez, Stitches by Shawn Mendes, Confident by Demi Lovato, Hide Away by Daya, Overtime by Bryson Tiller, Don't by Bryson Tiller, Beside You by 5 Seconds of Summer, Say It by Tory Lanez, Runaway by Bright Lights, Hello by Adele, Hollow by Tori Kelly, Sorry by Justin Bieber, Company by Justin Bieber, No Pressure by Justin Bieber, Children by Justin Bieber, Purpose by Justin Bieber, Trust by Justin Bieber, Stone by Alessia Cara, Overdose by Alessia Cara, Stars by Alessia Cara, Olivia by One Direction, Drifting by G-Eazy, Real Life by The Weeknd, ILYSB by LANY, Stay by Kygo, With Me by dvsn, The Line by dvsn, Bad Blood by NAO, Rumors by Jake Miller, Comfortable by K CAMP, Lush Life by Zara Larsson, Make Up by R. City, Too Bad by IshDARR, Calm Down by G-Eazy, Order More by G-Eazy, You Got Me by G-Eazy, Random by G-Eazy, Show Me by Marc E. Bassy, History by One Direction, Down In the DM by Yo Gotti, Work by Rihanna, Needed Me by Rihanna, Don't Let Me Down by The Chainsmokers, Never Forget You by Zara Larsson, Hollow by Tori Kelly, Fragile by Kygo, The Life by Fifth Harmony, iT's YoU by ZAYN, sHe by ZAYN, wRoNg by ZAYN, Waves by Kanye West, Pt. 2 by Kanye West, Famous by Kanye West, White Iverson by Post Malone, Pop Style by Drake, I Remember by AlunaGeorge, Sex by Cheat Codes, Drive by Oh Wonder, Without You by Oh Wonder, Low Life by Future, After Hours by Mike Stud, Say It by Flume, Runaway by Timeflies, YOUTH by Troye Sivan, Black Magic by Little Mix, Omen by Disclosure","Scars To Your Beautiful by Alessia Cara, Love Yourself by Justin Bieber, Me, Myself & I by G-Eazy ft. Bebe Rexha, Gravity by John Mayer, Unsteady by X Ambassadors, The Sound of Silence by Disturbed, Say Something by A Great Big World & Christina Aguilera, Stronger by Kelly Clarkson, Dreams by Fleetwood Mac, Rise Up by Andra Day",0,
walk,"Runaway by Kanye West, Watch Out by 2 Chainz, Foreplay / Long Time by Boston, What You Won't Do for Love by Bobby Caldwell, Waves by Kanye West, Surrender by Cheap Trick, New Slaves by Kanye West, Black Skinhead by Kanye West, King by Mike G, Preach by Young Dolph, The Letter by The Box Tops, Somebody to Love by Jefferson Airplane, I Fought The Law by The Bobby Fuller Four, The Letter by The Box Tops, Sympathy For The Devil by The Rolling Stones, On Fire by Eminem, Caroline by Aminé, Evil Woman by Electric Light Orchestra, Riptide by Vance Joy, Runaway by Del Shannon, Back In Black by AC/DC, What They Want by ScHoolboy Q, Runaway by Del Shannon, The Man Comes Around by Johnny Cash, Why Do Fools Fall in Love by Frankie Lymon & The Teenagers, Mr. Blue Sky by Electric Light Orchestra, Last Caress by Misfits, Where Eagles Dare by Misfits, Little Star by The Elegants, Wicked by Future, Crazy by Gnarls Barkley, Gyalchester by Drake, Mr. Tambourine Man by Bob Dylan, Better by Lil Yachty, Is This Love by Bob Marley & The Wailers, Love Me by Lil Wayne, Plain Jane by A$AP Ferg, Paris by $uicideBoy$","Walk On by Electric Light Orchestra, Stronger by Kanye West, The Letter by The Box Tops, Don't Look Back in Anger by Oasis, Dream On by Aerosmith, The Weight by The Band, High Hopes by Panic! At The Disco, I Won't Back Down by Tom Petty, Ramble On by Led Zeppelin, Vienna by Billy Joel",2,"The Letter by The Box Tops, The Letter by The Box Tops"
2015 Top Tracks,"Dreamers by Savoir Adore, Air by Waxahatchee, For You by Prince, C'est si bon by Yves Montand, Tomorrow Is Today by Billy Joel, You're No Good by Bob Dylan, Our Love by Sharon Van Etten, We Belong by RAC, Survival by Adult Mom, First Love / Late Spring by Mitski, Over And Over by Hot Chip","Dreamers by Savoir Adore, Fire by Waxahatchee, I Would Die 4 U by Prince, Don't Stop Believin by Journey, Stronger (What Doesn't Kill You) by Kelly Clarkson, Eye of the Tiger by Survivor, The Middle by Jimmy Eat World, Unwritten by Natasha Bedingfield, Dog Days Are Over by Florence + The Machine, High Hopes by Panic! At The Disco",1,Dreamers by Savoir Adore
Skinny Love,"People Help The People by Birdy, Say Something by A Great Big World, Someone Like You by Adele, Your Song by Ellie Goulding, Someone Like You by Adele, Rolling in the Deep by Adele, Mercy by Duffy, Fire and Rain by Birdy, Terrible Love by Birdy, Stubborn Love by The Lumineers, Ho Hey by The Lumineers, You and I by Ingrid Michaelson, Royals by Lorde, Give Me Love by Ed Sheeran, Love Song by Sara Bareilles, A Thousand Years by Christina Perri, Jar of Hearts by Christina Perri, Lucky by Jason Mraz, Try by Colbie Caillat, Your Love by Marié Digby, Say It Again by Marié Digby, Hello by Adele, Here by Alessia Cara","Someone Like You by Adele, Skinny Love by Birdy, Angela by The Lumineers, Turning Tables by Adele, Not About Angels by Birdy, Ophelia by The Lumineers, Make You Feel My Love by Adele, Wings by Birdy, Cleopatra by The Lumineers, Chasing Pavements by Adele",2,"Someone Like You by Adele, Someone Like You by Adele"
Hip Hop,"Blessings by Big Sean, King Of Everything by Wiz Khalifa, Paradise by Big Sean, Where Ya At by Future, $ave Dat Money (feat. Fetty Wap & Rich Homie Quan) by Lil Dicky, Crazy Rap (Colt 45 & 2 Zig Zags) by Afroman, Caroline by Aminé, No Favors by Big Sean, A Milli by Lil Wayne, Headlines by Drake, Congratulations by Post Malone, Back To Back by Drake, Stronger by Kanye West, Moves by Big Sean, Afraid by The Neighbourhood, Antidote by Travis Scott, Location by Khalid, What They Want by Russ, Till I Die by Machine Gun Kelly, Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie) by PnB Rock, 1-800-273-8255 by Logic, Pull The Trigger by Russ, Nobody by Kale Hunter, Gold Digger by Kanye West, HUMBLE. by Kendrick Lamar, POWER by Kanye West, Started From the Bottom by Drake, Passionfruit by Drake, No Love by Moneybagg Yo, Forbes by G-Eazy, Baby Blue (feat. Chance the Rapper) by Action Bronson, Slippery (feat. Gucci Mane) by Migos, Audi. by Smokepurpp, I Get The Bag (feat. Migos) by Gucci Mane, rockstar by Post Malone, Broken Whiskey Glass by Post Malone, REDMERCEDES by Aminé, Tongue Tied by Grouplove, Molly by Lil Pump, Plain Jane by A$AP Ferg, Relationship (feat. Future) by Young Thug, Sunshine by Charlie Heat, Numb by 21 Savage, These Days by Mike Stud","Congratulations by Post Malone, Blessings by Big Sean feat. Drake, God's Plan by Drake, Circles by Post Malone, Bounce Back by Big Sean, Nonstop by Drake, Rockstar by Post Malone feat. 21 Savage, I Don't Fuck With You by Big Sean feat. E-40, Started From the Bottom by Drake, Wow. by Post Malone",2,"Congratulations by Post Malone, Started From the Bottom by Drake"
Breakfast ,"Mr. Jones by Counting Crows, Time After Time by Cyndi Lauper, How to Save a Life by The Fray, You're Beautiful by James Blunt, Far Away by Nickelback, Follow Me by Uncle Kracker, Let Her Cry by Hootie & The Blowfish, All For You by Sister Hazel, Riptide by Vance Joy, Apologize by OneRepublic, Far Away by Nickelback, Chasing Cars by Snow Patrol, Pictures Of You by The Last Goodnight, Breakaway by Kelly Clarkson, I'll Be by Edwin McCain, Your Body Is a Wonderland by John Mayer, Halo by Beyoncé, Riptide by Vance Joy, Stay With Me by Sam Smith, For the First Time by The Script, This Love by Maroon 5, Rolling in the Deep by Adele, Complicated by Avril Lavigne, Because of You by Kelly Clarkson, Million Reasons by Lady Gaga, Some Nights by fun., Hanging By A Moment by Lifehouse, If I Had $1,000,000 by Barenaked Ladies, I'm Yours by Jason Mraz, Easy by Commodores, Waiting On the World to Change by John Mayer, 100 Years by Five For Fighting, Satellite by Dave Matthews Band, The Space Between by Dave Matthews Band, How's It Going To Be by Third Eye Blind, Rise Up by Andra Day, Counting Stars by OneRepublic, A Thousand Years by Christina Perri, What Would You Say by Dave Matthews Band, Best of You by Foo Fighters, Over My Head (Cable Car) by The Fray, Ho Hey by The Lumineers, Play That Song by Train, Photograph by Ed Sheeran, Gone, Gone, Gone by Phillip Phillips, Home by Phillip Phillips, Say Something by A Great Big World, Apologize by Timbaland, Cry Me a River by Justin Timberlake, How's It Going To Be by Third Eye Blind, Million Reasons by Lady Gaga, Too Good At Goodbyes by Sam Smith, Stay With Me by Sam Smith, Happier by Ed Sheeran, I Will Wait by Mumford & Sons, You And Me by Lifehouse, Breakeven by The Script, All of Me by John Legend","Slow Dancing in a Burning Room by John Mayer, Stay With Me by Sam Smith, How to Save a Life by The Fray, Gravity by John Mayer, I'm Not the Only One by Sam Smith, Over My Head (Cable Car) by The Fray, Tennessee Whiskey by Chris Stapleton, Say Something by A Great Big World & Christina Aguilera, The Heart of Life by John Mayer, Breathe Me by Sia",4,"How to Save a Life by The Fray, Stay With Me by Sam Smith, Stay With Me by Sam Smith, Over My Head (Cable Car) by The Fray"
Wedding,"Anniversary by Tony! Toni! Toné!, Reasons by Earth, Wind & Fire, Drunk in Love by Beyoncé, All of Me by John Legend, Fallin' by Alicia Keys, We Found Love by Rihanna, Put It On Me by Ja Rule, Candy by Cameo, Love and Happiness by Al Green, I Want You by Marvin Gaye, What You Won't Do for Love by Bobby Caldwell, All I Do by Stevie Wonder, Let's Stay Together by Al Green, I Choose You by Willie Hutch, Is This Love by Corinne Bailey Rae, Unforgettable by French Montana, Ways & Means by The Green, Havana by Camila Cabello, Run Me Dry by Bryson Tiller, Feels by Calvin Harris, Shining by DJ Khaled, Slippery (feat. Gucci Mane) by Migos, Magnolia by Playboi Carti, Beautiful by Snoop Dogg","Let's Stay Together by Al Green, All of Me by John Legend, Halo by Beyoncé, Turn Me On by Norah Jones, Is This Love by Bob Marley & The Wailers, L-O-V-E by Nat King Cole, At Last by Etta James, Come Away With Me by Norah Jones, Thinking Out Loud by Ed Sheeran, I Choose You by Sara Bareilles",2,"All of Me by John Legend, Let's Stay Together by Al Green"
80 90,"Gangsta's Paradise by Coolio, Eye Of The Tiger by Studio 99, I'll Be There For You by The Rembrandts, What Is Love by Haddaway, Working for the Weekend by Loverboy, Toy Soldiers by Martika, Walk This Way by Run–D.M.C., Take My Breath Away by Berlin, Any Way You Want It by Journey, Material Girl by Madonna, Night Fever by Bee Gees","Gangsta's Paradise by Coolio, I'll Be There for You by The Rembrandts, What Is Love by Haddaway, U Can't Touch This by MC Hammer, Jump Around by House of Pain, Hey Ya! by OutKast, No Diggity by Blackstreet ft. Dr. Dre, Queen Pen, Empire State of Mind by Jay-Z ft. Alicia Keys, Let's Get It Started by Black Eyed Peas, Crazy in Love by Beyoncé ft. Jay-Z",2,"Gangsta's Paradise by Coolio, What Is Love by Haddaway"
++++,"Budapest by George Ezra, Give Me Love by Ed Sheeran, Kiss Me by Ed Sheeran, Small Bump by Ed Sheeran, One by Ed Sheeran, Sweater Weather by The Neighbourhood, Wake Me Up When September Ends by Green Day, I Miss You by blink-182, Antichrist by The 1975, Chasing Cars by Snow Patrol, With Or Without You by U2, A Thousand Years by Christina Perri, Jar of Hearts by Christina Perri, I Walk The Line by Halsey, This Town by Niall Horan","Perfect by Ed Sheeran, A Thousand Years by Christina Perri, Sweater Weather by The Neighbourhood, Thinking Out Loud by Ed Sheeran, Jar of Hearts by Christina Perri, Daddy Issues by The Neighbourhood, Photograph by Ed Sheeran, Distance by Christina Perri feat. Jason Mraz, Afraid by The Neighbourhood, Give Me Love by Ed Sheeran",4,"Give Me Love by Ed Sheeran, Sweater Weather by The Neighbourhood, A Thousand Years by Christina Perri, Jar of Hearts by Christina Perri"
