playlist_name,track_playlist,recommendation,hit_number,hit_track,,
Chillin,"Wet Dreamz by J. Cole, A Tale of 2 Citiez by J. Cole, St. Tropez by J. Cole, Hello by J. Cole, Shoot Me Down by G-Eazy, Been On by G-Eazy, Studio by ScHoolboy Q, So High (feat. Ghost Loft) by Wiz Khalifa, Molly by Tyga, No Way by Futuristic, Buried Alive by Logic, Loud by Mac Miller, Matches by Mac Miller, Blessings by Big Sean, Feeling Good by Avicii, Everyday by A$AP Rocky, Flex (Ooh, Ooh, Ooh) by Rich Homie Quan, The Hills by The Weeknd, Peso by A$AP Rocky","Self Care by Mac Miller, No Role Modelz by J. Cole, Me, Myself & I by G-Eazy ft. Bebe Rexha, 2009 by Mac Miller, Love Yourz by J. Cole, Some Kind of Drug by G-Eazy ft. Marc E. Bassy, Stay by Mac Miller, Apparently by J. Cole, I Mean It by G-Eazy ft. Remo, Good News by Mac Miller",0,,,
Relaxin,"Perfectly Lonely by John Mayer, Something Like Olivia by John Mayer, The Age of Worry by John Mayer, Man On The Moon by Phillip Phillips, Home by Phillip Phillips, Gone, Gone, Gone by Phillip Phillips, Rolling Stone by The Weeknd, Somebody That I Used To Know by Gotye, When A Heart Breaks by Ben Rector, The Beat by Ben Rector, Sunday Morning by Maroon 5, The A Team by Ed Sheeran, Your Body Is a Wonderland by John Mayer, Show Me What I'm Looking For by Carolina Liar, I Will Wait by Mumford & Sons, Rude (Acoustic) by MAGIC!, Stay With Me by Sam Smith, We Belong Together by Mariah Carey","Gravity by John Mayer, Home by Phillip Phillips, More Like Love by Ben Rector, Slow Dancing in a Burning Room by John Mayer, Unpack Your Heart by Phillip Phillips, The Men That Drive Me Places by Ben Rector, Redemption Song by Bob Marley, Let It Be by The Beatles, Fix You by Coldplay, I Will Wait by Mumford & Sons",2,"Home by Phillip Phillips, I Will Wait by Mumford & Sons",,
Sydney!,"Worth It by Fifth Harmony, Calling All Cars by Senses Fail, Rum Is For Drinking, Not For Burning by Senses Fail, Adelaide by Anberlin, Hospital by The Used, Mr. Jones by Counting Crows, Don't Rain On My Parade by Barbra Streisand, Stolen by Dashboard Confessional, Without You by Bedlight for Blue Eyes, Emily by Bowling For Soup, The Feel Good Drag by Anberlin, I'm A Fake by The Used, 7 Years by Lukas Graham, Butterfly by Crazy Town, London Bridge by Fergie, Budapest by George Ezra, Angel by Shaggy, Bartender by Lady Antebellum, Trumpets by Jason Derulo, Amnesia by 5 Seconds of Summer, Rehab by Amy Winehouse, Get The Party Started by P!nk, Beverly Hills by Weezer, Royals by Lorde, I Will Wait by Mumford & Sons, Hands Down by Dashboard Confessional, Your Guardian Angel by The Red Jumpsuit Apparatus, Goodies by Ciara, Hollaback Girl by Gwen Stefani, Rich Girl by Gwen Stefani, Little Red Wagon by Miranda Lambert, Good Boy by Dia Frampton, I Will by Dia Frampton, Saints And Sailors by Dashboard Confessional, Your Call by Secondhand Serenade, 1985 by Bowling For Soup, Hopelessly Devoted To You by Olivia Newton-John, Bang Bang by Jessie J, So What by P!nk, Try by P!nk, Voodoo by Godsmack, Counting Stars by OneRepublic, I Lived by OneRepublic, Runaway by Cartel, Practice Makes Perfect by Cute Is What We Aim For, Will Power by Christian Borle, Hanging By A Moment by Lifehouse, Soul of a Man by Stark Sands, Paper Planes by M.I.A., Tell Your Heart to Beat Again by Danny Gokey, Someone Like You by Adele, Hello by Adele, Headlights by Eminem, Scared by Defences, Gravity by Defences, Death Of A Bachelor by Panic! At The Disco, I Write Sins Not Tragedies by Panic! At The Disco, Play That Song by Train","Who Knew by P!nk, Vindicated by Dashboard Confessional, Calling All Cars by Senses Fail, Stronger by Kelly Clarkson, The Middle by Jimmy Eat World, Fire Away by Chris Stapleton, Unwritten by Natasha Bedingfield, Life is a Highway by Tom Cochrane, The Climb by Miley Cyrus, High Hopes by Panic! At The Disco",1,Calling All Cars by Senses Fail,,
steph,"Trouble by Bei Maejor, Practice by Drake, So Good by B.o.B, Up All Night by Alex Clare, Closer by Kings of Leon, Fastest Girl in Town by Miranda Lambert, The Love Club by Lorde, Ain't It Fun by Paramore, The Outsiders by Eric Church, Show Me by Kid Ink, Money On My Mind by Sam Smith, Trophies by Young Money, Seven Nation Army by The White Stripes, Touchin, Lovin (feat. Nicki Minaj) by Trey Songz, I Hate Everything About You by Three Days Grace, Last Resort by Papa Roach, Numb / Encore by JAY Z, Crawling In The Dark by Hoobastank, Cool Kids by Echosmith, Riptide by Vance Joy, Take Me To Church by Hozier, Love Me Again by John Newman, Someday by Flipsyde, Headphones by Florida Georgia Line, 10 Bands by Drake, Stole the Show by Kygo, Centuries by Fall Out Boy, Legend by Drake, Be Real by Kid Ink, 10 Bands by Drake, Again by Fetty Wap, Gasoline by Halsey, Savior by Rise Against, Back and Forth by B.o.B, Halo by Dustin Lynch, Don't Let Me Down by The Chainsmokers, Needed Me by Rihanna, Feels by Kiiara, Tennessee by Kiiara, Mercy by Shawn Mendes, Down by Marian Hill, Black by Dierks Bentley, Sleep Without You by Brett Young, Now Or Never by Halsey, Feels by Calvin Harris, Believer by Imagine Dragons, Unforgettable by French Montana, Unforgettable by French Montana, I Fall Apart by Post Malone, Go Flex by Post Malone","Without Me by Halsey, Started From the Bottom by Drake, Airplanes by B.o.B featuring Hayley Williams, Stronger by Kanye West, Dog Days Are Over by Florence + The Machine, Roar by Katy Perry, Three Little Birds by Bob Marley & The Wailers, Rolling in the Deep by Adele, Radioactive by Imagine Dragons, Lose Yourself by Eminem",0,,,
Summer 2015,"Up All Night by Arty, Insomnia by Audien, Surrender by Cash Cash, Alone by Armin van Buuren, Follow Me by Vicetone, Anchor by Tritonal, Love Again by Cedric Gervais, Stronger by Arty, Keep Our Love Alive by Afrojack, Colors by Tritonal, Satellite by Tritonal","Summer of '69 by Bryan Adams, She Will Be Loved by Maroon 5, Under the Bridge by Red Hot Chili Peppers, Gravity by John Mayer, Take Me Home, Country Roads by John Denver, Sweet Child o' Mine by Guns N' Roses, Chasing Cars by Snow Patrol, Ho Hey by The Lumineers, The Night We Met by Lord Huron, Yellow by Coldplay",0,,,
80s dance,"Don't Turn Around by Ace of Base, Express Yourself by Madonna, Material Girl by Madonna, Holiday by Madonna, Borderline by Madonna, 1999 by Prince, 7 by Prince, Let's Go Crazy by Prince, Kiss by Prince, Pop Life by Prince, Cherry Bomb by John Mellencamp, Hurts So Good by John Mellencamp, Candy by Cameo, Bust A Move by Young MC, Summertime by DJ Jazzy Jeff & The Fresh Prince, Fame by C.C. Productions, Automatic by The Pointer Sisters, Jump (For My Love) by The Pointer Sisters, Neutron Dance by The Pointer Sisters, All Cried Out by Lisa Lisa & Cult Jam, Casanova by Levert, Cruel Summer by Bananarama, Call Me by Skyy, Everybody Wants To Rule The World by Tears For Fears, Don't You (Forget About Me) by Simple Minds, Rock Steady by The Whispers, Is It Good To You by The Whispers, On The Radio by Donna Summer, She Works Hard For The Money by Donna Summer, I Can't Wait by Nu Shooz, Real Love by Jody Watley, Everything by Jody Watley, Always by Pebbles, Glory Of Love by Peter Cetera, Shout by Tears For Fears, On The Radio by Donna Summer, She Works Hard For The Money by Donna Summer, Everybody Wants To Rule The World by Tears For Fears, Don't You (Forget About Me) by Simple Minds, Straight Up by Paula Abdul, Opposites Attract by Paula Abdul, Cold Hearted by Paula Abdul, Cruel Summer by Bananarama, Hold On by Wilson Phillips, Human by The Human League, Time After Time by Cyndi Lauper, True Colors by Cyndi Lauper, Call Me by Blondie, Tainted Love by Soft Cell, Addicted To Love by Robert Palmer, Good Thing by Fine Young Cannibals, Who Do You Love by Bernard Wright, The Rain by Oran Juice Jones, She Works Hard For The Money by Donna Summer, Down Under by Men At Work, Danger Zone by Kenny Loggins, Working for the Weekend by Loverboy, Living In America by James Brown, Let's Groove by Earth, Wind & Fire, Your Love by The Outfield, (I've Had) The Time of My Life by Bill Medley, Hold Me Now by Thompson Twins, Poison by Alice Cooper, Every Time You Go Away by Paul Young, Time After Time by Cyndi Lauper","Hung Up by Madonna, Kiss by Prince, Hot Stuff by Donna Summer, Could You Be Loved by Bob Marley & The Wailers, Don't Stop Believin by Journey, Walking on Sunshine by Katrina and the Waves, I Wanna Dance with Somebody (Who Loves Me) by Whitney Houston, Uptown Funk by Mark Ronson feat. Bruno Mars, Livin' on a Prayer by Bon Jovi, Get Lucky by Daft Punk feat. Pharrell Williams & Nile Rodgers",1,Kiss by Prince,,
Mi Amor,"I Luv This Shit by August Alsina, With You by Chris Brown, Closer by Ne-Yo, Signs by Drake, Sex & Super Smash Bros. by KYLE, If It Means a Lot to You by A Day To Remember, Comfortable by K CAMP, Good Things by Jonathan Roy, Animal by Trey Songz, I Will Wait by Mumford & Sons, Marry Me by Train, Drink Up by Train, Vacation by Thomas Rhett","Marry Me by Train, Adore You by Harry Styles, Die A Happy Man by Thomas Rhett, Thinking Out Loud by Ed Sheeran, Lover by Taylor Swift, Banana Pancakes by Jack Johnson, Better Together by Luke Combs, Ho Hey by The Lumineers, You Are The Best Thing by Ray LaMontagne, XO by John Mayer",1,Marry Me by Train,,
beast mode,"Cost Of Livin' by Ronnie Dunn, Can't Break It To My Heart by Tracy Lawrence, That's the Way Love Goes by Merle Haggard, Mountain Music by Alabama, Anymore by Travis Tritt, Nobody In His Right Mind Would've Left Her by George Strait, Bet Your Heart On Me by Johnny Lee, Here For A Good Time by George Strait, Two Dozen Roses by Shenandoah, Hello Darlin' by Conway Twitty, Y'all Come Back Saloon by The Oak Ridge Boys, Please Remember Me by Tim McGraw, Elvira by The Oak Ridge Boys, All My Ex's Live In Texas by George Strait, Live Forever by The Highwaymen, Remember When by Alan Jackson, Seminole Wind by John Anderson, Ain't Nothing 'Bout You by Brooks & Dunn, Don't Close Your Eyes by Keith Whitley, I'm Over You by Keith Whitley, You Won't Ever Be Lonely by Andy Griggs, Live Until I Die by Clay Walker, Home by Joe Diffie, The Cowboy Rides Away by George Strait, Swingin' by John Anderson, 1959 by John Anderson, In Color by Jamey Johnson, Watching Airplanes by Gary Allan, Free by Zac Brown Band, Riser by Dierks Bentley, Castaway by Zac Brown Band, Voices by Chris Young, Tomorrow by Chris Young, Made In America by Toby Keith, Look Heart, No Hands by Randy Travis, This Woman And This Man by Clay Walker, The Race Is On by Sawyer Brown, Fire Away by Chris Stapleton, Traveller by Chris Stapleton, Seminole Wind by John Anderson, Straight Tequila Night by John Anderson","Amarillo By Morning by George Strait, Tennessee Whiskey by Chris Stapleton, Seminole Wind by John Anderson, I'm So Lonesome I Could Cry by Hank Williams, The House That Built Me by Miranda Lambert, Simple Man by Lynyrd Skynyrd (for its reflective and empowering mood), Blue Ain't Your Color by Keith Urban (blends country with a bluesy feel), Gravity by John Mayer (for a bluesy, reflective mood), Bless the Broken Road by Rascal Flatts (for nostalgia and emotional healing), The Dance by Garth Brooks (for its reflective and nostalgic mood)",2,"Seminole Wind by John Anderson, Seminole Wind by John Anderson",,
Crossfit ,"Panic Station by Muse, Click Click Boom by Saliva, I Stand Alone by Godsmack, More Human Than Human by White Zombie, Cryin' Like A Bitch!! by Godsmack, Chalk Outline by Three Days Grace, Hurricane by MS MR, Break Stuff by Limp Bizkit, Bad Girlfriend by Theory of a Deadman, Crazy Bitch by Buckcherry, Get Back by Ludacris, I Will Not Bow by Breaking Benjamin, Sound Of Madness by Shinedown","Break Stuff by Limp Bizkit, Awake by Godsmack, Hysteria by Muse, Bleed It Out by Linkin Park, Down with the Sickness by Disturbed, Last Resort by Papa Roach, You're Going Down by Sick Puppies, I Stand Alone by Godsmack, Knights of Cydonia by Muse, Rollin' (Air Raid Vehicle) by Limp Bizkit",2,"I Stand Alone by Godsmack, Break Stuff by Limp Bizkit",,
New Beats,"Trust Issues by Kiki Rowe, The Hills by Roses & Revolutions, Habits by Steven Cooper, Weak by AJR, You & Me by Marc E. Bassy, All Night by The Vamps, Bad Intentions by Niykee Heaton, Gravity by Timeflies, Starving by Hailee Steinfeld, All Time Low by Jon Bellion, I Wish by Cher Lloyd, Marry The Night by Lady Gaga, Down by Marian Hill, History by Olivia Holt, Lullaby by Niykee Heaton, Now Or Never by Halsey, Words by Daya, Gold by Kiiara, Sweet Talker by Jessie J, Me Too by Meghan Trainor, Gasoline by Halsey","Without Me by Halsey, Bad at Love by Halsey, Infinity by Niykee Heaton, The Heart Wants What It Wants by Selena Gomez, Someone You Loved by Lewis Capaldi, The Climb by Miley Cyrus, Fire Away by Chris Stapleton, The House That Built Me by Miranda Lambert, Unsteady by X Ambassadors, Scars To Your Beautiful by Alessia Cara",0,,,
New,"Touchin, Lovin (feat. Nicki Minaj) by Trey Songz, Truffle Butter by Nicki Minaj, Energy by Drake, Blessings by Big Sean, Know Yourself by Drake, Wait by Tourist, How Deep Is Your Love by Calvin Harris, Back To Back by Drake, Good For You by Selena Gomez, Hello by Adele, Sunset by Farruko, Work by Rihanna, Down In the DM by Yo Gotti","Find Your Love by Drake, Super Bass by Nicki Minaj, One Last Time by Ariana Grande, Adore You by Harry Styles, Blessings by Big Sean featuring Drake, Thinking Out Loud by Ed Sheeran, Come Away With Me by Norah Jones, Gravity by John Mayer, Just the Way You Are by Bruno Mars, Dream a Little Dream of Me by Ella Fitzgerald & Louis Armstrong",0,,,
Rock,"Sweet Child O' Mine by Guns N' Roses, Cancer by My Chemical Romance, Mama by My Chemical Romance, 21 Guns by Green Day, Wake Me Up When September Ends by Green Day, Homecoming by Green Day, Even Flow by Pearl Jam, Monsters by Matchbook Romance, Thnks fr th Mmrs by Fall Out Boy, I Miss You by blink-182, I Don't Care by Fall Out Boy, I Write Sins Not Tragedies by Panic! At The Disco, Still Waiting by Sum 41, Savior by Rise Against, Scars by Papa Roach, Sunshine Of Your Love by Cream, Free Bird by Lynyrd Skynyrd, Lay Down by Priestess, You And I by Anarbor, Go To Hell by Go Radio, Can't Stop by Red Hot Chili Peppers, Best of You by Foo Fighters, Alive by Pearl Jam, Seven Nation Army by The White Stripes, Sweet Home Alabama by Lynyrd Skynyrd, Welcome To The Jungle by Guns N' Roses, Knockin' On Heaven's Door by Guns N' Roses, Master Of Puppets by Metallica, One by Metallica, 3's & 7's by Queens of the Stone Age, The Devil Went Down To Georgia by Steve Ouimette, Prayer Of The Refugee by Rise Against, Livin' On A Prayer by Bon Jovi, In The End by Linkin Park, Helicopter by Bloc Party, Black Magic Woman by Santana, Shout at the Devil by Mötley Crüe, Ace of Spades by Motörhead, Take On Me by a-ha, Johnny B. Goode by Chuck Berry, Nothing Else Matters by Metallica, Uprising by Muse, Bark at the Moon by Ozzy Osbourne, Clint Eastwood by Gorillaz, Ain't No Sunshine by Bill Withers, Hurt by Johnny Cash, Dream On by Aerosmith","Nothing Else Matters by Metallica, November Rain by Guns N' Roses, Boulevard of Broken Dreams by Green Day, Simple Man by Lynyrd Skynyrd, Wish You Were Here by Pink Floyd, The Sound of Silence by Disturbed, Under the Bridge by Red Hot Chili Peppers, Black by Pearl Jam, Everlong' (Acoustic Version) by Foo Fighters, Patience by Guns N' Roses",1,Nothing Else Matters by Metallica,,
feelin ,"Don't by Bryson Tiller, Headlines by Drake, We Can Make Love by SoMo, Let Em' Know by Bryson Tiller, Missing You by YFN Lucci, Thinkin Bout You by Frank Ocean, Let Me Explain by Bryson Tiller, Shoot Me Down by G-Eazy, Ride by SoMo, Make Up Sex by SoMo, Know Yourself by Drake, Pills N Potions by Nicki Minaj, All We Do by Trey Songz, Kissin' On My Tattoos by August Alsina, Forever by Drake, You by Oshea, Studio by ScHoolboy Q","Exchange by Bryson Tiller, Passionfruit by Drake, Ride by SoMo, Adorn by Miguel, Gravity by John Mayer, Let's Get It On by Marvin Gaye, Turn Me On by Norah Jones, I Put a Spell on You by Nina Simone, Thinking Out Loud by Ed Sheeran, Come Away With Me by Norah Jones",1,Ride by SoMo,,
