playlist_name,track_playlist,recommendation,hit_number,hit_track
june '16,"18 by EXES, The Fall by Stevie Nader, We Had It All by Shoffy, Sex With Me by Rihanna, Yesterdays by Ricky Smith, She Don't (feat. Ty Dolla $Ign) by Ella Mai, Upside Down by Luke Christopher, Hurts So Good by Astrid S, All I Want Is You by Miguel, Easy by Johnny Stimson, Comfortable by Lauv, Location by Khalid, Gone by Day Wave, Open Arms by RKCB, Give Me Something by Jarryd James, Circles by machineheart, Drive by Glades, Take It or Leave It by Great Good Fine Ok, Water by Ra Ra Riot, Adrenaline by Lauv, Come Back Home by Lauv, Don't Let Me Down by The Chainsmokers, Not Alone by Josh Jacobson, Body by Dreezy, Once In a While by Timeflies, Riot by Matt Black, All Time Low by Jon Bellion, Can't Get Over You by KINGDM, Home by MAX, Walls by Jesiah, 18 by Anarbor, Sex by Cheat Codes, Afterglow by Wilkinson, You & Me by Marc E. Bassy, Black and White by Liam Horne, Do Better by TRACES","I Like Me Better by Lauv, Someone You Loved by Lewis Capaldi, Let Her Go by Passenger, See You Again by Wiz Khalifa feat. Charlie Puth, Fix You by Coldplay, Love Yourself by Justin Bieber, Photograph by Ed Sheeran, Best Part by Daniel Caesar feat. H.E.R., Memories by Maroon 5, The Night We Met by Lord Huron",0,
car rides.,"Sleepyhead by Passion Pit, Free by Graffiti6, Out Of My League by Fitz and The Tantrums, Sweet Disposition by The Temper Trap, Need Your Love by The Temper Trap, Kids by MGMT, Thunder Clatter by Wild Cub, I Am by AWOLNATION, Could Have Been Me by The Struts, Crossfire by Brandon Flowers, Mardy Bum by Arctic Monkeys, I Miss You by blink-182, Good Vibrations by Marky Mark And The Funky Bunch, Believe by Cher, Let's Make a Memory by Roy Orbison, Come Alive by Eternal Summers, Story of My Life by Social Distortion, I'll Fight by Wilco, You Got It by Roy Orbison, Maps by Yeah Yeah Yeahs, Back In Your Head by Tegan and Sara","Sweet Disposition by The Temper Trap, You Got It by Roy Orbison, Take Me Home, Country Roads by John Denver, Drive By by Train, Fast Car by Tracy Chapman, Home by Phillip Phillips, Ho Hey by The Lumineers, Wagon Wheel by Darius Rucker, I'm Gonna Be (500 Miles) by The Proclaimers, Castle on the Hill by Ed Sheeran",2,"Sweet Disposition by The Temper Trap, You Got It by Roy Orbison"
sunshine,"In The Waiting Line by Zero 7, One Time by Marian Hill, Wake Up by EDEN, drugs by EDEN, Happy Pills by Weathers, Sinister Kid by The Black Keys, 2 Heads by Coleman Hell, Pumped Up Kicks by Foster The People, Daylight by Matt and Kim, Out Of My League by Fitz and The Tantrums, Sleepyhead by Passion Pit, Bad Habit by The Kooks, Cigarette Daydreams by Cage The Elephant, Who Are You by C2C, Trouble by R3HAB, Drive By by Train, Lucky by Jason Mraz, I'm Yours by Jason Mraz, Bubbly by Colbie Caillat, Que Sera by Wax Tailor","I Won't Give Up by Jason Mraz, Gravity by John Mayer, Turn Blue by The Black Keys, Don't Know Why by Norah Jones, Make It Rain by Ed Sheeran, Come Away With Me by Norah Jones, Better Together by Jack Johnson, The Heart of Life by John Mayer, Satellite by Dave Matthews Band, Unstoppable by Sia",0,
Rock Classics,"More Than a Feeling by Boston, Pinball Wizard by The Who, Radar Love by Golden Earring, Paranoid by Black Sabbath, Ohio by Crosby, Stills, Nash & Young, Foreplay / Long Time by Boston, Rocky Mountain Way by Joe Walsh, Ramblin' Man by The Allman Brothers Band, Who Are You by The Who, Peace of Mind by Boston, Walk This Way by Aerosmith, Sunshine Of Your Love by Cream, Piece of My Heart by Big Brother & The Holding Company, Can't You See by The Marshall Tucker Band, Cocaine by Eric Clapton, Behind Blue Eyes by The Who, Baba O'Riley by The Who, Hey Joe by Jimi Hendrix, China Grove by The Doobie Brothers, For What It's Worth by Buffalo Springfield, Gimme Shelter by The Rolling Stones, Free Bird by Lynyrd Skynyrd, Sweet Home Alabama by Lynyrd Skynyrd, Dream On by Aerosmith, Let It Rain by Eric Clapton, Listen To The Music by The Doobie Brothers, Have a Cigar by Pink Floyd, Simple Man by Lynyrd Skynyrd, Wish You Were Here by Pink Floyd, Sweet Child O' Mine by Guns N' Roses, It's My Life by Bon Jovi, California Dreamin' by The Mamas & The Papas, Take The Money And Run by Steve Miller Band, Take It Easy by Eagles, Mr. Blue Sky by Electric Light Orchestra, The Devil Went Down to Georgia by The Charlie Daniels Band, Wild World by Yusuf / Cat Stevens, Rock & Roll Band by Boston, Sympathy For The Devil by The Rolling Stones, Money by Pink Floyd, The River of Dreams by Billy Joel","More Than a Feeling by Boston, Sweet Home Alabama by Lynyrd Skynyrd, Baba O'Riley by The Who, Take It Easy by Eagles, Ramblin' Man by The Allman Brothers Band, American Girl by Tom Petty and the Heartbreakers, The Weight by The Band, Simple Man by Lynyrd Skynyrd, Peace of Mind by Boston, Behind Blue Eyes by The Who",8,"More Than a Feeling by Boston, Ramblin' Man by The Allman Brothers Band, Peace of Mind by Boston, Behind Blue Eyes by The Who, Baba O'Riley by The Who, Sweet Home Alabama by Lynyrd Skynyrd, Simple Man by Lynyrd Skynyrd, Take It Easy by Eagles"
Birthday Mix,"Magnificent by Rick Ross, Come Around by Collie Buddz, That's What I Like by Bruno Mars, Shining by DJ Khaled, Come Around by Collie Buddz, The Light by Common, Higher Ground by Stevie Wonder, Good Lovin by Ludacris, Chunky by Bruno Mars, Passionfruit by Drake, Get It Together by Drake, Frustrated by R.LUM.R, Party by Chris Brown, Kiss by Prince, Fade by Kanye West, Crush by Yuna","24K Magic by Bruno Mars, Can't Stop the Feeling! by Justin Timberlake, Shut Up and Dance by WALK THE MOON, Uptown Funk by Mark Ronson ft. Bruno Mars, Happy by Pharrell Williams, Cake By The Ocean by DNCE, High Hopes by Panic! At The Disco, Good as Hell by Lizzo, Shake It Off by Taylor Swift, Feel So Close by Calvin Harris",0,
Gym ,"POWER by Kanye West, HUMBLE. by Kendrick Lamar, Back To Back by Drake, Till It's Gone by Yelawolf, In The End by Linkin Park, You Don't Know by Eminem, Numb / Encore by JAY Z, Blackout by Method Man, Hero by Skillet, Click Click Boom by Saliva, Stronger by Kanye West, Last Resort by Papa Roach, If I Can't by 50 Cent, Fast Lane by Bad Meets Evil, X Gon' Give It To Ya by DMX, I Will Not Bow by Breaking Benjamin, Anxiety by The Black Eyed Peas","Stronger by Kanye West, Lose Yourself by Eminem, Bleed It Out by Linkin Park, Till I Collapse by Eminem, Power by Kanye West, Faint by Linkin Park, Can't Tell Me Nothing by Kanye West, Survival by Eminem, Given Up by Linkin Park, Black Skinhead by Kanye West",1,Stronger by Kanye West
Joel,"Fitzpleasure by alt-J, Blessings by Chance The Rapper, Blessings by Chance The Rapper, Heartbeat by Childish Gambino, Sober by Childish Gambino, Pop Thieves (Make It Feel Good) by Childish Gambino, I Fink U Freeky by Die Antwoord, Baby's on Fire by Die Antwoord, Legend by Drake, Thinkin Bout You by Frank Ocean, Ready or Not by Fugees, Clint Eastwood by Gorillaz, S.O.S by Indila, Cry Me a River by Justin Timberlake, $ave Dat Money (feat. Fetty Wap & Rich Homie Quan) by Lil Dicky, One Night by Lil Yachty, Flash Delirium by MGMT, Congratulations by MGMT, Kids by MGMT, Summertime by Stromae, Silence by Stromae, This Is The Life by Two Door Cinema Club, Gold Digger by Kanye West, Hide and Seek by Imogen Heap, Full Moon by The Black Ghosts, You by We Are Trees, Dream On by Aerosmith, Seaside by The Kooks, Bad Habit by The Kooks, Moves by Big Sean, HUMBLE. by Kendrick Lamar","Redbone by Childish Gambino, Electric Feel by MGMT, No Problem by Chance The Rapper feat. Lil Wayne & 2 Chainz, Buffalo Soldier by Bob Marley & The Wailers, Dog Days Are Over by Florence + The Machine, Take Me Out by Franz Ferdinand, Karma Police by Radiohead, Could You Be Loved by Bob Marley & The Wailers, Spirits by The Strumbellas, Sweet Disposition by The Temper Trap",0,
angst _,"Closing Time by Semisonic, Mr. Jones by Counting Crows, Drive by Incubus, Loser by Beck, Inside Out by Eve 6, Alive by Pearl Jam, All I Want by Toad The Wet Sprocket, Bitter Sweet Symphony by The Verve, Santa Monica by Everclear, My Hero by Foo Fighters, Pardon Me by Incubus, Zombie by The Cranberries, I Miss You by Incubus, When I Come Around by Green Day, Give It Away by Red Hot Chili Peppers, Shine by Collective Soul, Friday I'm In Love by The Cure, Good Riddance (Time of Your Life) by Green Day, Tomorrow by Silverchair, Broadway by The Goo Goo Dolls, December by Collective Soul, Push by Matchbox Twenty, Hemorrhage (In My Hands) by Fuel, Butterfly by Crazy Town, Save Tonight by Eagle-Eye Cherry, If You Could Only See by Tonic, Walkin' On The Sun by Smash Mouth, I Alone by Live, Shine by Collective Soul, Follow You Down by Gin Blossoms, Scars by Papa Roach, Falls On Me by Fuel, I Alone by Live, All Apologies by Nirvana, Someday by Sugar Ray, All For You by Sister Hazel, One by U2, Hemorrhage (In My Hands) by Fuel, Wake Me Up When September Ends by Green Day, 1985 by Bowling For Soup, Wonderful by Everclear","Good Riddance (Time of Your Life) by Green Day, Hemorrhage (In My Hands) by Fuel, The World I Know by Collective Soul, Boulevard of Broken Dreams by Green Day, Shimmer by Fuel, December by Collective Soul, Wake Me Up When September Ends by Green Day, Run by Collective Soul, Bad Day by Fuel, 21 Guns by Green Day",5,"Good Riddance (Time of Your Life) by Green Day, December by Collective Soul, Hemorrhage (In My Hands) by Fuel, Hemorrhage (In My Hands) by Fuel, Wake Me Up When September Ends by Green Day"
new music,"Elastic Heart by Sia, Gold by Imagine Dragons, Young Blood by Bea Miller, This Time Around by Tove Lo, I'm an Albatraoz by AronChupa, Buy The World by Mike WiLL Made-It, Around The World by Natalie La Rose, Promise by Kid Ink, In The End by Linkin Park, Needed Me by Rihanna, Rewind by Kid Ink, Be Right There by Diplo, Don't Let Me Down by The Chainsmokers, In The Dark by DEV","Unstoppable by Sia, Whatever It Takes by Imagine Dragons, The Fighter by Gym Class Heroes feat. Ryan Tedder, Rise Up by Andra Day, Stronger (What Doesn't Kill You) by Kelly Clarkson, Brave by Sara Bareilles, The Climb by Miley Cyrus, Hall of Fame by The Script feat. will.i.am, Fight Song by Rachel Platten, Girl on Fire by Alicia Keys",0,
Christmas Music,"White Christmas by Bing Crosby, Sleigh Ride by Harry Connick, Jr., What Are You Doing New Year's Eve? by Harry Connick, Jr., Christmas (Baby Please Come Home) by U2, O Holy Night by Tevin Campbell, Sleigh Ride by Mitch Miller, Santa Claus Is Comin' to Town by Mitch Miller, Blue Christmas by Elvis Presley, Ave Maria by Chris Botti, Winter Wonderland by Chris Botti, Let It Snow! Let It Snow! Let It Snow! by Chris Botti, Hallelujah by Chris Botti, Santa Claus Is Coming to Town by Chris Botti, Little Drummer Boy by Chris Botti, I'll Be Home for Christmas by Chris Botti, Let It Snow! Let It Snow! Let It Snow! by Chris Botti, Silent Night by Chris Botti, Tonight Is Christmas by Alabama, Feliz Navidad by Aqua Teen Hunger Force, I'll Be Home For Christmas by Aqua Teen Hunger Force, Silent Night by Aqua Teen Hunger Force","Winter Wonderland by Harry Connick, Jr., Jingle Bell Rock by Bobby Helms, Have Yourself a Merry Little Christmas by Chris Botti, Santa Claus Is Coming to Town by Bruce Springsteen, Silent Night by Michael Bublé, Let It Snow! Let It Snow! Let It Snow! by Dean Martin, Feliz Navidad by José Feliciano, Blue Christmas by Elvis Presley, O Holy Night by Mariah Carey, Christmas Time Is Here by Vince Guaraldi Trio",1,Blue Christmas by Elvis Presley
Calm,"I Wonder by Kanye West, Foolish by Ashanti, Drunk in Love by Beyoncé, Ring The Alarm by Beyoncé, Hello by Beyoncé, Party by Beyoncé, End of Time by Beyoncé, Pretty Hurts by Beyoncé, Touchin, Lovin (feat. Nicki Minaj) by Trey Songz, Freedom by Nicki Minaj, High School by Nicki Minaj, Right By My Side by Nicki Minaj, Next To You by Chris Brown, Sweet Love by Chris Brown, Drunk Texting by Chris Brown, Numb by Usher, Missing You by Sanchez, Donna by Singing Sweet, I Luv This Shit by August Alsina, Wet by Bomani, In Your Eyes by Sanchez, Walk Away From Love by Bitty McLean, Frenzy by Sanchez, She Loves Me Now by Beres Hammond, One In A Million by Sanchez, Rock Away by Beres Hammond","Halo by Beyoncé, Pillowtalk by ZAYN, Adorn by Miguel, Thinking Out Loud by Ed Sheeran, Let's Stay Together by Al Green, Is This Love by Bob Marley & The Wailers, Never Too Much by Luther Vandross, Turn Your Lights Down Low by Bob Marley & The Wailers feat. Lauryn Hill, Come Away With Me by Norah Jones, Truly Madly Deeply by Savage Garden",0,
Wedding,"California by Mindy Gledhill, Marry Me by Train, Dream by Priscilla Ahn, L-O-V-E by Olivia Ong, Fly Me To The Moon by Olivia Ong, My Favorite Things by Olivia Ong, Girl From Ipanema by Olivia Ong, Payphone by Jayesslee, Secrets by Jayesslee, Sunday Morning by Megan Nicole, Marry Me by Jason Derulo, Like a Star by Corinne Bailey Rae, La vie en rose by Édith Piaf, Fly Me To The Moon (In Other Words) by Nat King Cole, Fly Me To The Moon by Rod Stewart, Verge by Owl City, 19 You + Me by Dan + Shay, Photograph by Ed Sheeran, Marry Me by Jason Derulo, Always On My Mind by Michael Bublé, The Way You Look Tonight by Michael Bublé, Worth It by Fifth Harmony, So Close by Jon McLaughlin, Love Song by Sara Bareilles, April Showers by Proleter, Beautiful by Bosson, All About That Bass by Meghan Trainor, Scream by Usher, Bang Bang by Jessie J, All of Me by John Legend, On The Floor by Jennifer Lopez, Run Away With Me by Carly Rae Jepsen, Say Something by A Great Big World, The Heart of Life by John Mayer, La Vie En Rose by Daniela Andrade, Once In a While by Timeflies, Don't Let Me Down by The Chainsmokers","Everything by Michael Bublé, A Thousand Years by Christina Perri, Marry Me by Train, L-O-V-E by Nat King Cole, Come Away With Me by Norah Jones, At Last by Etta James, You Are The Best Thing by Ray LaMontagne, I Choose You by Sara Bareilles, Love Someone by Jason Mraz, I Won't Give Up by Jason Mraz",1,Marry Me by Train
Wedding Dance Party,"Crazy In Love by Beyoncé, Dynamite by Taio Cruz, Somebody To Love by Justin Bieber, Gold Digger by Kanye West, Somebody by Natalie La Rose, September by Earth, Wind & Fire, Good Feeling by Flo Rida, Forever by Chris Brown, My Love by Justin Timberlake, Timber by Pitbull, Stitches by Shawn Mendes, Play That Funky Music by Wild Cherry, Blow by Kesha, I Gotta Feeling by The Black Eyed Peas","Crazy in Love by Beyoncé feat. Jay-Z, Sorry by Justin Bieber, Dynamite by Taio Cruz, Marry You by Bruno Mars, Can't Stop the Feeling! by Justin Timberlake, Uptown Funk by Mark Ronson feat. Bruno Mars, Shut Up and Dance by WALK THE MOON, 24K Magic by Bruno Mars, I Gotta Feeling by The Black Eyed Peas, Sugar by Maroon 5",2,"Dynamite by Taio Cruz, I Gotta Feeling by The Black Eyed Peas"
Run Run Run,"Nantes by Beirut, My Doorbell by The White Stripes, Perth by Bon Iver, Towers by Bon Iver, White Winter Hymnal by Fleet Foxes, Pumped Up Kicks by Foster The People, Home by Edward Sharpe & The Magnetic Zeros, Mardy Bum by Arctic Monkeys, Young Blood by The Naked And Famous, Somebody That I Used to Know by Walk Off the Earth, Burning by The Whitest Boy Alive, Run by Vampire Weekend, After Hours by We Are Scientists, Baby by Devendra Banhart, West Coast by Coconut Records, Young Folks by Peter Bjorn and John, Everything Is Everything by Phoenix, I Would Do Anything for You by Foster The People, Janglin by Edward Sharpe & The Magnetic Zeros, The Handshake by MGMT, Fire by Kasabian, America by Razorlight, Holiday by Vampire Weekend, Back To Back by Wolf Gang, Simple Song by The Shins, Weekend Wars by MGMT, Sleepyhead by Passion Pit, The Golden Age by The Asteroids Galaxy Tour, Daylight by Matt and Kim, Some Nights by fun., Sleepyhead by Passion Pit, Carry On by fun., Little Talks by Of Monsters and Men, Lasso by Phoenix, Fences by Phoenix","Pumped Up Kicks by Foster The People, Home by Edward Sharpe & The Magnetic Zeros, Lisztomania by Phoenix, Shake It Out by Florence + The Machine, Dog Days Are Over by Florence + The Machine, Take Me Out by Franz Ferdinand, High Hopes by Panic! At The Disco, Sweet Disposition by The Temper Trap, Ho Hey by The Lumineers, Live in the Moment by Portugal. The Man",2,"Pumped Up Kicks by Foster The People, Home by Edward Sharpe & The Magnetic Zeros"
chill,"Stay by Kygo, Toes by Zac Brown Band, That's All I Need by Dirty Heads, Fly by Sugar Ray, Corona And Lime by Shwayze, All Mixed Up by 311, Castaway by Zac Brown Band, Express Yourself by N.W.A., Someday by Sugar Ray, Work It Out by Jurassic 5, House Party by Sam Hunt, Take Your Time by Sam Hunt, Inside Out by Eve 6, Stronger by Kanye West, Suit & Tie by Justin Timberlake, Take Me Out by Franz Ferdinand, Gold Digger by Kanye West, Where the Party At by Jagged Edge, Drift Away by Uncle Kracker, Follow Me by Uncle Kracker, When the Sun Goes Down by Kenny Chesney, That's What I Like by Bruno Mars, I'm the One by DJ Khaled, Closer by The Chainsmokers, Rich Girl by Daryl Hall & John Oates, Welcome To Jamrock by Damian Marley, Hold On by Alabama Shakes, Wild World by Yusuf / Cat Stevens, Heartbreaker by Led Zeppelin, Seven Nation Army by The White Stripes, You Shook Me All Night Long by AC/DC, Sex on Fire by Kings of Leon, Butterfly by Crazy Town, Black Betty by Ram Jam","Chicken Fried by Zac Brown Band, Fly by Sugar Ray, Stronger by Kanye West, Gravity by John Mayer, I'm Yours by Jason Mraz, Just Friends (Sunny) by Musiq Soulchild, Come Away With Me by Norah Jones, Budapest by George Ezra, The Heart of Life by John Mayer, Golden by Jill Scott",2,"Fly by Sugar Ray, Stronger by Kanye West"
